,description,guid,title
0,The government has done a molecule-by-molecule mapping of Active Pharmaceutical Ingredients (APIs) imported from China to ramp up domestic production and imports from third party sources in view of the supply chain disruptions due to the coronavirus epidemic.,https://health.economictimes.indiatimes.com/news/pharma/govt-completes-molecular-mapping-of-active-pharma-ingredients/74384299?utm_source=RSS&utm_medium=ETRSS,Govt completes molecular mapping of active pharma ingredients
1,"Like China, India has a high rate of internal migration. In the 2011 census, 450 million people moved from one area to another in search of opportunity. Many commute daily from their villages to work in the cities. That could make it harder to contain an outbreak to one locality, as China has attempted to do by locking down the entire state of Hubei.",https://health.economictimes.indiatimes.com/news/diagnostics/coronavirus-spread-puts-densely-populated-india-on-high-alert/74373697?utm_source=RSS&utm_medium=ETRSS,Coronavirus spread puts densely populated India on high alert
2,"The government has been examining the impact of the shutdown in China on the pharmaceutical sector in India. The DoP has also asked the country’s drug regulatory authority, Central Drugs Standard Control Organization, to examine to what degree India depends on China for bulk drugs, possible shortages of molecules and measures that can be taken to keep the situation under control.",https://health.economictimes.indiatimes.com/news/pharma/coronavirus-outbreak-drug-pricing-regulator-asks-companies-to-give-information-on-price-inventory/74366328?utm_source=RSS&utm_medium=ETRSS,"Coronavirus outbreak: Drug pricing regulator asks companies to give information on price, inventory"
3,"Qure.ai will use this new capital to drive geographical expansion, expand product portfolio and support regulatory clearances.",https://health.economictimes.indiatimes.com/news/health-it/qure-ai-raises-16-million-from-sequoia-india/74364161?utm_source=RSS&utm_medium=ETRSS,Qure.ai raises $16 million from Sequoia India
4,"The licensing pact for Ryaltris has been signed between the company's Swiss subsidiary, Glenmark Specialty SA and Hikma Pharmaceuticals PLC (Hikma). ",https://health.economictimes.indiatimes.com/news/pharma/glenmark-inks-licensing-pact-with-hikma-for-commercialisation-of-nasal-spray-ryaltris-in-us/74335382?utm_source=RSS&utm_medium=ETRSS,Glenmark inks licensing pact with Hikma for commercialisation of nasal spray Ryaltris in US
5,"The United States Food and Drug Administration (USFDA) issued a Form 483 with two observations to Biocon’ Bengaluru API facility.
",https://health.economictimes.indiatimes.com/news/finance/biocon-shares-fall-as-usfda-issues-form-483-for-bengaluru-facility/74331424?utm_source=RSS&utm_medium=ETRSS,Biocon shares fall as USFDA issues Form 483 for Bengaluru facility
6,Officials aware of the developments say Morgan Stanley is readying the share sale process.,https://health.economictimes.indiatimes.com/news/mergers-and-aquisitions/nclt-clears-gsk-hul-merger-paves-way-for-gsk-plcs-exit-through-huge-block-deal/74331037?utm_source=RSS&utm_medium=ETRSS,"NCLT clears GSK-HUL merger, paves way for GSK Plc’s exit through huge block deal"
7,The Medical Technology Association of India (MTaI) on Wednesday said its member companies are ready to brace up for any shortages in medical devices and equipment arising out of scarcity of raw materials from China due to coronavirus outbreak. ,https://health.economictimes.indiatimes.com/news/medical-devices/mtai-members-ready-to-brace-up-for-any-shortage-of-medical-devices/74327037?utm_source=RSS&utm_medium=ETRSS,MTaI members ready to brace up for any shortage of medical devices
8, Drug firm Cipla Ltd said that the US health regulator has issued a warning letter to the company for its manufacturing facility in Goa.  ,https://health.economictimes.indiatimes.com/news/pharma/usfda-issues-warning-letter-to-cipla-for-goa-manufacturing-facility/74327044?utm_source=RSS&utm_medium=ETRSS,USFDA issues warning letter to Cipla for Goa manufacturing facility
9,"China on Wednesday permitted India to send its special flight with around 15 tonnes of medical relief to Wuhan, the epicentre of the coronavirus epidemic.",https://health.economictimes.indiatimes.com/news/medical-devices/india-sends-special-flight-with-medical-relief-to-china/74319355?utm_source=RSS&utm_medium=ETRSS,India sends special flight with medical relief to China
10,The government has done a molecule-by-molecule mapping of Active Pharmaceutical Ingredients (APIs) imported from China to ramp up domestic production and imports from third party sources in view of the supply chain disruptions due to the coronavirus epidemic.,https://health.economictimes.indiatimes.com/news/pharma/govt-completes-molecular-mapping-of-active-pharma-ingredients/74384299?utm_source=RSS&utm_medium=ETRSS,Govt completes molecular mapping of active pharma ingredients
11,"Like China, India has a high rate of internal migration. In the 2011 census, 450 million people moved from one area to another in search of opportunity. Many commute daily from their villages to work in the cities. That could make it harder to contain an outbreak to one locality, as China has attempted to do by locking down the entire state of Hubei.",https://health.economictimes.indiatimes.com/news/diagnostics/coronavirus-spread-puts-densely-populated-india-on-high-alert/74373697?utm_source=RSS&utm_medium=ETRSS,Coronavirus spread puts densely populated India on high alert
12,"The government has been examining the impact of the shutdown in China on the pharmaceutical sector in India. The DoP has also asked the country’s drug regulatory authority, Central Drugs Standard Control Organization, to examine to what degree India depends on China for bulk drugs, possible shortages of molecules and measures that can be taken to keep the situation under control.",https://health.economictimes.indiatimes.com/news/pharma/coronavirus-outbreak-drug-pricing-regulator-asks-companies-to-give-information-on-price-inventory/74366328?utm_source=RSS&utm_medium=ETRSS,"Coronavirus outbreak: Drug pricing regulator asks companies to give information on price, inventory"
13,"Qure.ai will use this new capital to drive geographical expansion, expand product portfolio and support regulatory clearances.",https://health.economictimes.indiatimes.com/news/health-it/qure-ai-raises-16-million-from-sequoia-india/74364161?utm_source=RSS&utm_medium=ETRSS,Qure.ai raises $16 million from Sequoia India
14,"The licensing pact for Ryaltris has been signed between the company's Swiss subsidiary, Glenmark Specialty SA and Hikma Pharmaceuticals PLC (Hikma). ",https://health.economictimes.indiatimes.com/news/pharma/glenmark-inks-licensing-pact-with-hikma-for-commercialisation-of-nasal-spray-ryaltris-in-us/74335382?utm_source=RSS&utm_medium=ETRSS,Glenmark inks licensing pact with Hikma for commercialisation of nasal spray Ryaltris in US
15,"The United States Food and Drug Administration (USFDA) issued a Form 483 with two observations to Biocon’ Bengaluru API facility.
",https://health.economictimes.indiatimes.com/news/finance/biocon-shares-fall-as-usfda-issues-form-483-for-bengaluru-facility/74331424?utm_source=RSS&utm_medium=ETRSS,Biocon shares fall as USFDA issues Form 483 for Bengaluru facility
16,Officials aware of the developments say Morgan Stanley is readying the share sale process.,https://health.economictimes.indiatimes.com/news/mergers-and-aquisitions/nclt-clears-gsk-hul-merger-paves-way-for-gsk-plcs-exit-through-huge-block-deal/74331037?utm_source=RSS&utm_medium=ETRSS,"NCLT clears GSK-HUL merger, paves way for GSK Plc’s exit through huge block deal"
17,The Medical Technology Association of India (MTaI) on Wednesday said its member companies are ready to brace up for any shortages in medical devices and equipment arising out of scarcity of raw materials from China due to coronavirus outbreak. ,https://health.economictimes.indiatimes.com/news/medical-devices/mtai-members-ready-to-brace-up-for-any-shortage-of-medical-devices/74327037?utm_source=RSS&utm_medium=ETRSS,MTaI members ready to brace up for any shortage of medical devices
18, Drug firm Cipla Ltd said that the US health regulator has issued a warning letter to the company for its manufacturing facility in Goa.  ,https://health.economictimes.indiatimes.com/news/pharma/usfda-issues-warning-letter-to-cipla-for-goa-manufacturing-facility/74327044?utm_source=RSS&utm_medium=ETRSS,USFDA issues warning letter to Cipla for Goa manufacturing facility
19,"China on Wednesday permitted India to send its special flight with around 15 tonnes of medical relief to Wuhan, the epicentre of the coronavirus epidemic.",https://health.economictimes.indiatimes.com/news/medical-devices/india-sends-special-flight-with-medical-relief-to-china/74319355?utm_source=RSS&utm_medium=ETRSS,India sends special flight with medical relief to China
20,"The conclave’s panel discussion elaborated on the way forward to encourage organ donation in India and suggested innovative concepts for spreading awareness on organ donation through effective utilization of various social media tools for mass outreach.
",,ORGAN India hosts 'Fourth Collaborative Conclave' for organ donation
21,Join the inaugural edition of ETHealthworld.com HealthTech Summit to hear experts as they delve into digitisation and discuss their automation journeys.,,"Automation in Hospitals: Costs, Risks & Rewards"
22,Jayaram sought to highlight the need for the people of a country to remain healthy if the nation was to develop at a steady pace. ,,"Rising maternal and infant mortality rates distressing, says academic"
23,"With virtually no continent left untouched by the virus, the race is on to trace and stop further spread of the illness and also find a cure for it. India, especially, appears to be at high risk because of its dense population, deficient healthcare mechanism and high rate of migration.",,"Coronavirus enters unknown phase, fear spikes after new US case"
24,The government has done a molecule-by-molecule mapping of Active Pharmaceutical Ingredients (APIs) imported from China to ramp up domestic production and imports from third party sources in view of the supply chain disruptions due to the coronavirus epidemic.,,Govt completes molecular mapping of active pharma ingredients
25,"Anti-Corruption Bureau raids were conducted in many hospitals. In Gudivada town of Krishna district, ACB sleuths raided area government hospital and checked various records.",,ESI scam: ACB conducts raids in Gudivada government hospital in Krishna district
26,Health authorities here on Thursday confirmed the first case of coronavirus in the European country.,,Netherlands confirms first case of coronavirus
27,The regulator said a drugmaker had informed it of the shortage of one of its drugs because manufacturing of one of its main pharmaceutical ingredients was affected by the fast-moving virus outbreak.,,U.S. regulator announces first shortage of drug related to coronavirus
28,The World Health Organisation website says so far there has been no evidence that companion pets can be infected with the coronavirus.,,"Hong Kong finds coronavirus in pet dog samples, unclear if infected"
29,The court directed the central and state governments to take immediate action against bogus institutes offering such courses putting at stake the lives of youngsters.,,Act on bogus institutes offering unrecognized med courses: HC
30,"A single oral dose of the 75 mg tablet can provide fast pain relief, return patients to normal function within an hour, and remain effective for up to 48 hours for many patients, the company said.",,Biohaven drug wins U.S. FDA approval for use in relieving migraine headaches
31,Public health officials have begun tracing the patient’s contact history and will test the individual's family members for the virus.,,New Zealand confirms first case of coronavirus: health ministry
32,"Naushad Panjwani, president (west), Indo American Chamber of Commerce, said the Indian government should help contain the economic crisis caused by coronavirus.",,Centre must aid firms to fight coronavirus impact: Experts
33,Primary health services will be improved through Arogyam Health and Wellness Centres in the state under the MoU. ,,"MP government, Tatas sign MoU for healthcare"
34,"Barely more than a handful of public health departments across the country are able to test for the novel virus, which began in China and has spread to at least 44 countries.",,"Mixed messages, test delays hamper U.S. coronavirus response"
